CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3 tabs.py
MEM 176.980469 1608090331.9863
MEM 176.980469 1608090332.0917
MEM 176.980469 1608090332.1960
MEM 176.980469 1608090332.3001
MEM 176.980469 1608090332.4052
MEM 176.980469 1608090332.5072
MEM 176.980469 1608090332.6120
MEM 176.980469 1608090332.7135
MEM 176.980469 1608090332.8188
MEM 176.980469 1608090332.9219
MEM 176.980469 1608090333.0273
MEM 176.980469 1608090333.1311
MEM 176.980469 1608090333.2365
MEM 176.980469 1608090333.3404
MEM 176.980469 1608090333.4435
MEM 176.980469 1608090333.5489
MEM 176.980469 1608090333.6542
MEM 176.980469 1608090333.7578
MEM 176.980469 1608090333.8632
MEM 176.980469 1608090333.9660
MEM 176.980469 1608090334.0689
MEM 176.980469 1608090334.1702
MEM 176.980469 1608090334.2704
MEM 176.980469 1608090334.3706
MEM 176.980469 1608090334.4708
MEM 176.980469 1608090334.5743
MEM 176.980469 1608090334.6797
MEM 176.980469 1608090334.7822
MEM 176.980469 1608090334.8828
MEM 176.980469 1608090334.9881
MEM 176.980469 1608090335.0891
MEM 176.980469 1608090335.1938
MEM 176.980469 1608090335.2965
MEM 176.980469 1608090335.3971
MEM 176.980469 1608090335.4983
MEM 176.980469 1608090335.6017
MEM 176.980469 1608090335.7071
MEM 176.980469 1608090335.8076
MEM 176.980469 1608090335.9119
MEM 176.980469 1608090336.0136
MEM 176.980469 1608090336.1174
MEM 176.980469 1608090336.2228
MEM 176.980469 1608090336.3243
MEM 176.980469 1608090336.4297
MEM 176.980469 1608090336.5338
MEM 176.980469 1608090336.6351
MEM 176.980469 1608090336.7395
MEM 176.980469 1608090336.8400
MEM 176.980469 1608090336.9433
MEM 176.980469 1608090337.0454
MEM 176.980469 1608090337.1507
MEM 176.980469 1608090337.2535
MEM 176.980469 1608090337.3578
MEM 176.980469 1608090337.4631
MEM 176.980469 1608090337.5671
MEM 176.980469 1608090337.6703
MEM 176.980469 1608090337.7756
MEM 176.980469 1608090337.8794
MEM 176.980469 1608090337.9847
MEM 176.980469 1608090338.0851
MEM 176.980469 1608090338.1869
MEM 176.980469 1608090338.2923
MEM 176.980469 1608090338.3938
MEM 176.980469 1608090338.4948
MEM 176.980469 1608090338.5995
MEM 176.980469 1608090338.7049
MEM 176.980469 1608090338.8067
MEM 176.980469 1608090338.9121
MEM 176.980469 1608090339.0163
MEM 176.980469 1608090339.1181
MEM 176.980469 1608090339.2234
MEM 176.980469 1608090339.3245
MEM 176.980469 1608090339.4263
MEM 176.980469 1608090339.5317
MEM 176.980469 1608090339.6328
MEM 176.980469 1608090339.7382
MEM 176.980469 1608090339.8428
MEM 176.980469 1608090339.9482
MEM 176.980469 1608090340.0529
MEM 176.980469 1608090340.1583
MEM 176.980469 1608090340.2627
MEM 176.980469 1608090340.3678
MEM 176.980469 1608090340.4717
MEM 176.980469 1608090340.5771
MEM 176.980469 1608090340.6808
MEM 176.980469 1608090340.7861
MEM 176.980469 1608090340.8874
MEM 176.980469 1608090340.9926
MEM 176.980469 1608090341.0962
MEM 176.980469 1608090341.1964
MEM 176.980469 1608090341.2993
MEM 176.980469 1608090341.4035
MEM 176.980469 1608090341.5038
MEM 176.980469 1608090341.6082
MEM 176.980469 1608090341.7136
MEM 176.980469 1608090341.8180
MEM 176.980469 1608090341.9232
MEM 176.980469 1608090342.0246
MEM 176.980469 1608090342.1250
MEM 176.980469 1608090342.2304
MEM 176.980469 1608090342.3335
MEM 176.980469 1608090342.4388
MEM 176.980469 1608090342.5416
MEM 176.980469 1608090342.6431
MEM 176.980469 1608090342.7485
MEM 176.980469 1608090342.8538
MEM 176.980469 1608090342.9557
MEM 177.015625 1608090343.0609
MEM 177.015625 1608090343.1622
MEM 177.015625 1608090343.2651
MEM 177.015625 1608090343.3663
MEM 177.015625 1608090343.4699
MEM 177.050781 1608090343.5730
MEM 177.050781 1608090343.6776
MEM 177.050781 1608090343.7785
MEM 177.050781 1608090343.8810
MEM 177.050781 1608090343.9820
MEM 177.050781 1608090344.0822
MEM 177.050781 1608090344.1826
MEM 177.050781 1608090344.2854
MEM 177.050781 1608090344.3901
MEM 177.050781 1608090344.4936
MEM 177.050781 1608090344.5961
MEM 177.050781 1608090344.6992
MEM 177.050781 1608090344.7995
MEM 177.050781 1608090344.9005
MEM 177.050781 1608090345.0038
MEM 177.050781 1608090345.1074
MEM 177.050781 1608090345.2126
MEM 177.050781 1608090345.3180
MEM 177.050781 1608090345.4215
MEM 177.050781 1608090345.5264
MEM 177.050781 1608090345.6318
MEM 177.050781 1608090345.7339
MEM 177.050781 1608090345.8393
MEM 177.050781 1608090345.9407
