,constructorId,constructorRef,name,nationality,url,color
43,45,osella,Osella,Italian,http://en.wikipedia.org/wiki/Osella,silver
44,46,onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team),white
45,47,life,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team),yellow
46,48,rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,green
47,49,zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed,green
48,50,ram,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing,darkgreen
49,51,alfa,Alfa Romeo,Italian,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,#960000
50,52,spirit,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team),pink
51,53,toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman,purple
52,54,ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels),red
53,55,theodore,Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing,blue
54,56,fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,blue
55,57,ensign,Ensign,British,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,bisque
56,58,shadow,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,forestgreen
57,59,wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,green
58,60,merzario,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario,silver
59,61,kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen,crimson
60,62,rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque,purple
61,63,surtees,Surtees,British,http://en.wikipedia.org/wiki/Surtees,yellow
62,64,hesketh,Hesketh,British,http://en.wikipedia.org/wiki/Hesketh_Racing,darkgreen
63,65,martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars),turquoise
64,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,turquoise
65,67,penske,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing,pink
66,68,lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One),silver
67,69,mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One),yellow
68,70,boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One),cornflowerblue
69,71,apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One),blue
70,72,kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering,red
71,73,parnelli,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli,orange
72,74,maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars),cornflowerblue
73,75,hill,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor),darkgreen
74,76,lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar,green
75,77,trojan,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team),green
76,78,amon,Amon,New Zealand,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),fuschia
77,79,token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team),orange
78,80,iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro,forestgreen
79,81,tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno,blue
80,82,matra,Matra,French,http://en.wikipedia.org/wiki/Matra,white
81,83,politoys,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,purple
82,84,connew,Connew,British,http://en.wikipedia.org/wiki/Connew,purple
83,85,bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi,silver
84,86,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso,purple
85,87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,turquoise
86,88,eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,pink
87,89,lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile),yellow
88,90,protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor),forestgreen
89,91,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One),bisque
90,92,scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell,red
91,93,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29,cornflowerblue
92,94,brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership,pink
93,95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,orange
94,96,derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis,pink
95,97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby,bisque
96,98,stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro,silver
97,99,emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson,bisque
98,100,enb,ENB,Belgium,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,cornflowerblue
99,101,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW,cornflowerblue
100,102,ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,yellow
101,103,mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,blue
102,104,behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche,yellow
103,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,orange
104,106,scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor),pink
105,107,watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson,blue
106,108,epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly,turquoise
107,109,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor),cornflowerblue
