,raceId,minOverallRaceLap,minOverallQualiLap
99,100,78.739,78.233
100,101,73.78,73.306
101,102,79.071,79.146
102,103,105.108,116.232
103,104,81.046,80.089
104,105,92.238,94.012
105,106,92.73,93.542
106,107,71.473,70.646
107,108,87.724,87.173
108,109,96.412,97.044
109,110,82.032,73.807
110,111,82.491,82.327
111,112,80.143,77.762
112,113,68.337,69.15
113,114,74.545,75.259
114,115,76.04,75.529
115,116,92.621,91.523
116,117,75.512,75.019
117,118,82.236,81.209
118,119,74.917,75.167
119,120,82.095,81.688
120,121,81.832,80.963
121,122,71.473,71.67
122,123,93.408,91.713
123,125,98.049,95.26599999999999
124,140,96.125,91.31700000000001
125,156,74.448,71.708
126,158,91.481,90.556
127,160,86.523,84.714
128,161,86.217,85.703
129,173,99.189,95.825
130,175,92.112,90.462
131,176,78.448,76.568
132,177,88.547,86.362
133,191,91.649,90.01
134,192,79.337,77.092
135,193,88.179,85.852
136,199,95.704,83.271
137,200,72.878,89.598
138,201,106.116,101.838
139,203,123.766,108.682
140,207,90.585,89.369
141,208,78.397,76.004
142,209,87.981,84.473
143,210,85.531,83.303
144,211,113.315,78.21600000000001
145,212,82.242,76.525
146,213,79.635,78.095
147,214,77.91,74.548
148,215,84.475,81.598
149,216,105.747,101.87299999999999
150,224,93.421,92.37100000000001
151,225,81.547,78.111
152,226,89.413,90.346
153,227,81.363,78.941
154,228,88.931,86.89
155,229,85.205,80.356
156,230,105.517,80.65
157,337,118.287,113.88300000000001
